word,frequency,length
ஓய்வு,11477,3
தனசேகரன்,11477,6
ரெ,11476,1
தவறான,11475,4
கோவிந்தராஜன்,11474,7
பாப்லோ,11474,3
ராமராஜன்,11472,5
அரசாங்கம்,11468,6
நவீன,11463,3
மாதத்தை,11461,4
பணிகளை,11460,4
மாணிக்கவேல்,11460,6
விஷ்ணுபிரியா,11459,6
பரிவை,11457,3
முடிகிறது,11451,5
மஞ்சரி,11449,4
கார்த்திகேசு,11449,6
ஆயுர்வேதம்,11446,6
நாடுகளின்,11439,5
சமயத்தில்,11435,6
விஸ்வநாத்,11434,5
ராகுல்,11432,3
ரெக்ஸ்,11429,3
ஜாய்ஸ்,11428,3
நைபால்,11424,3
பண்டைத்,11417,4
மருத்துவமனை,11415,7
சாக்ஸ்,11414,3
அபுல்,11413,3
கணக்கு,11412,4
ஆந்தனி,11408,4
ராமலக்ஷ்மி,11408,6
ஞா,11407,1
பத்மநாபபுரம்,11406,8
நடத்தினர்,11402,6
கோமு,11402,2
ஜடாயு,11400,3
ஹைக்கூ,11400,3
தன்ராஜ்,11389,4
படங்களில்,11384,6
நிறைந்த,11383,4
தழுவல்,11383,4
இன்பா,11382,3
செந்தில்நாதன்,11380,7
சத்யராஜ்குமார்,11377,8
ரூத்,11375,2
நரேந்திரன்,11373,6
மோகனா,11372,3
நுட்பக்,11371,4
போகன்,11371,3
சிவராமகிருஷ்ணன்,11371,9
மார்ரா,11371,3
பிருத்விராஜ்,11369,6
கம்பராமாயணம்,11366,8
அடிச்சி,11366,4
அரவக்கோன்,11366,6
அனைத்தையும்,11364,6
நடித்த,11358,4
இருந்தனர்,11356,6
பனியும்,11356,4
கூறியதாவது,11355,6
பொறியியல்,11353,5
அஸ்வத்,11352,4
நிகில்,11350,3
பாலகுமார்,11349,5
இராம்,11348,3
காவின்,11345,3
வான்மதி,11345,4
கிட்டத்தட்ட,11342,7
ஆய்வியல்,11341,5
ஜனா,11340,2
எட்டு,11339,3
ஜேகே,11339,2
ஹாலந்து,11336,4
ஷக்தி,11335,3
பொன்னு,11332,3
மாவட்டங்களில்,11331,8
ஞானக்கூத்தன்,11330,7
மீ,11326,1
எலிசபத்,11322,5
ராரா,11320,2
ஜேபி,11319,2
பிச்சி,11318,3
எமர்ஜென்சி,11318,6
ஹரன்பிரசன்னா,11318,8
ஜெஃப்ரி,11316,4
மாத்யூ,11315,3
மேப்ஸ்,11315,3
கலாப்ரியா,11315,5
ஏகாந்தன்,11313,5
அபிலாஷ்,11311,4
கல்யாணராமன்,11309,7
பயணக்கட்டுரை,11305,8
மதிபாலா,11304,4
ஆலிஸ்,11303,3
லிண்டா,11302,3
சித்தார்த்தா,11301,6
ஓவியன்,11299,4
லெஸ்லி,11297,3
தனசேகர்,11297,5
ஹரிதாஸ்,11295,4
இராஜாஜி,11294,4
தத்துவக்,11294,5
ஸ்வெட்லானா,11294,5
ரமேஷ்குமார்,11293,6
செல்லப்பன்,11291,6
ஜெனிஃபர்,11283,5
தேனம்மை,11283,4
மாரன்,11281,3
முத்துக்குமாரசுவாமி,11280,10
அதிபுனைவு,11279,5
ஆரூர்,11277,3
மலைச்சாமி,11277,5
மன்ரோ,11276,3
புஷ்பால,11275,4
மித்திலன்,11272,5
வரவில்லை,11271,5
பஞ்சநதம்,11271,6
செல்லோ,11265,3
செந்தில்வேல்,11265,6
அஷோக்,11264,3
குமுதினி,11264,4
ஆண்டின்,11263,4
சச்சிதானந்தன்,11262,8
செந்தில்வாணன்,11262,7
அதைத்,11261,3
வைரவன்,11261,4
லக்ஷ்மண,11259,5
லயம்,11257,3
ஹோவர்ட்,11256,4
தொன்மம்,11255,4
ப்ரகாஷ்,11252,4
ஆர்த்தர்,11251,5
குப்பா,11251,3
துரையன்,11251,4
ஜெரமி,11250,3
தருணாதித்தன்,11247,7
இரமணன்,11245,5
மனிதர்கள்,11244,6
ஸிந்துஜா,11242,4
நரோபா,11241,3
சூஸன்,11240,3
ஆக்டேவியா,11238,5
ஷெரில்,11238,3
மீட்டர்,11238,4
மஹேஸ்வரி,11236,5
என்னைப்,11230,4
தனியன்,11230,4
அத்தனை,11228,4
பெயரை,11225,3
கய்,11223,2
திருமலைராஜன்,11222,7
சின்னராஜ்,11219,5
ஹன்ஸா,11217,3
ஆலென்,11214,3
ஸிமிக்,11214,3
யதுகிரி,11213,4
கமில்,11210,3
பன்னாட்டுச்,11209,6
டயனா,11208,3
குடும்பத்தில்,11207,7
க்ரே,11207,2
நான்ஸி,11207,3
சுரேந்திரநாத்,11206,7
அலெக்ஸவிச்,11206,6
மஹாதேவன்,11203,5
வாசிக்கப்பட்ட,11201,8
ஜனமேஜயன்,11198,6
அதிகாரம்,11196,5
அம்புஜத்தம்மாள்,11196,9
வரலாற்றாய்வு,11195,7
பெர்ஜர்,11194,4
ஏற்புரை,11192,4
காம்யு,11192,3
புதியமாதவி,11192,6
கார்ஸன்,11191,4
சினுவா,11190,3
ஆர்வெல்,11189,4
செம்பரிதி,11188,5
விவாதக்,11188,4
இளையா,11188,3
லெக்ஷ்மணன்,11186,6
ஸ்னைடர்,11183,4
சௌதுரி,11183,3
ஆட்டிஸம்,11183,5
சமயவேல்,11182,5
மாநகராட்சி,11181,6
ஸ்டானிஸ்லா,11181,5
பார்ன்ஸ்,11180,4
யூவான்,11180,3
வேணுகோபாலன்,11179,6
நரசய்யா,11179,5
ஹாலாஸ்யன்,11179,5
மாஷா,11178,2
எட்கார்,11177,4
பேப்,11177,2
புனைவுச்,11177,4
லூஸியா,11176,3
லெம்,11176,2
இதயசகி,11174,5
முடியுமா,11173,4
இஸ்மத்,11173,4
சத்யானந்தன்,11173,7
ரொபெர்டோ,11173,4
பொலான்யோ,11173,4
ஆவுடையக்காள்,11172,7
சோமசேகர்,11171,5
கண்ட,11169,3
க்வின்,11169,3
நோவாக்,11169,3
பகுப்புகள்,11168,6
க்ரேஸ்,11168,3
ஹாட்லி,11168,3
இடத்தை,11167,4
லைட்மான்,11167,4
அமிதவ்,11166,4
சுப்ரபாரதி,11165,6
சுவலபில்,11164,5
விசனன்,11164,4
முரகாமி,11163,4
சோழகக்கொண்டல்,11161,8
இராமனாதன்,11160,6
கால்வினோ,11159,4
அனுமந்தன்,11158,6
ஆல்பெர்,11158,4
சாதத்,11156,3
கேசவமணி,11156,5
ப்ரதிபா,11156,4
அமரநாதன்,11154,6
பேலி,11154,2
மண்டோ,11153,3
க்ரெஸ்,11153,3
பௌலா,11152,2
மஹாஸ்வேதா,11151,5
பென்னேஸ்வரன்,11151,7
ஸிக்ரிட்,11151,4
நூன்யெஸ்,11151,4
லின்க்ஸ்,11150,4
வில்ஸன்,11150,4
நினன்,11150,3
லைவ்லி,11150,3
மாயவரத்தான்,11150,7
பெண்களின்,11149,5
வ்ரே,11149,2
ஆஷாபூர்ணா,11148,5
புக்கோவ்ஸ்கி,11148,6
சத்தியப்ரியன்,11147,8
ஹாகின்ஸ்,11146,4
அனோஜன்,11146,4
அர்ஸுலா,11146,4
வென்டெல்,11145,4
சஞ்சாரி,11145,4
ஒல்கா,11144,3
சுக்தாய்,11144,4
லாண்டிஸ்,11144,4
செமிகோலன்,11144,5
அழகுநம்பி,11144,6
கமலக்குமார்,11144,7
கேரொல்,11144,3
எம்ஷ்வில்லர்,11144,7
ஹரிஹரசுதன்,11143,7
காலத்துகள்,11143,6
பெனலபி,11143,4
மாதவப்,11142,4
அம்ஷன்குமார்,11142,7
ஸ்வர்ணமால்யா,11142,7
பிறைநுதல்,11142,5
ஹருகி,11141,3
சிம்ப்ஸன்,11141,5
டிமதி,11141,3
சமரன்,11140,4
பெனாத்தல்,11140,5
முகின்,11140,3
செம்பனூர்,11139,5
நியாண்டர்,11139,5
அனார்க்கி,11139,5
ஹ்யூ,11138,2
நிசா,11138,2
இடாலோ,11137,3
கார்லொஸ்,11136,4
தமிழர்கள்,11135,6
அநிருத்த,11135,5
சித்தாந்தன்,11135,6
இவன்,11134,3
நிகழ்ச்சிக்,11134,6
பெர்ன்ஸ்டைன்,11134,6
ஜேகப்ஸ்,11134,4
நகுல்வசன்,11134,6
டானல்ட்,11133,4
இயலிசை,11132,4
கேட்லின்,11132,4
சதுரன்,11132,4
ஆனந்த்ஜி,11132,5
மதுரபாரதி,11132,6
ப்ரேடி,11132,3
ஷைன்சன்,11132,4
மிர்ஸ்கி,11132,4
எவென்,11131,3
சரோயன்,11131,4
நேமியன்,11130,4
டாயல்,11130,3
இராஜரட்ணம்,11130,7
இராஜ்மோகன்,11130,6
ஆஸ்நோஸ்,11130,4
விச்வநாதன்,11129,6
சாவல்,11129,3
எதார்த்தக்,11129,6
கெரட்,11129,3
ஃப்யூயென்டெஸ்,11129,7
ப்ரொச்னிக்,11129,5
ஷூல்ட்ஸ்,11128,4
பொன்னரசு,11128,5
வற்றாயிருப்பு,11128,7
ஆதிமூலகிருஷ்ணன்,11128,9
சிமமண்டா,11128,5
சத்தியமுர்த்தி,11127,8
டாக்டரோவ்,11126,5
ஃப்ரான்ஸிஸ்,11125,6
மீனவர்கள்,11125,6
டோஹெர்ட்டி,11125,5
லொரி,11125,2
சாந்தினிதேவி,11125,6
ராமபத,11125,4
வில்மோட்,11124,4
அநபாயன்,11124,5
ஹுலியோ,11124,3
ஜயினேந்திர,11124,6
ரோச்சல்,11123,4
வெய்வெய்,11123,4
கொரொனா,11123,3
மாட்டில்டா,11123,5
ப்ரவாஹன்,11122,5
ரொக்கோ,11122,3
புலவாயோ,11122,4
டேவிட்மோரிஸ்,11122,6
ஹரூன்,11121,3
எவாஞ்சலிஸ்டா,11121,7
அச்செபே,11121,4
தார்ன்ஹில்,11121,5
கோர்தஸார்,11121,5
மக்வயர்,11121,5
கல்கர்,11120,4
குற்றப்புனைவு,11120,7
பான்வில்,11120,4
மத்யமன்,11120,5
ஸ்வர்ட்ஸ்மான்,11120,7
டுரெலோ,11120,3
மிஷெய்ல்,11119,4
ப்ராட்பரி,11119,5
டாவென்போர்ட்,11119,6
ஃபியாமெட்டா,11119,6
அக்டாவியோ,11119,5
ப்யாஸேட்ஸ்கயா,11119,7
க்வேலெ,11119,3
நோவயலெட்,11119,5
டவ்ஸோன்,11119,4
ரிட்பம்,11119,4
ப்ரஹ்மராயர்,11118,7
ஆமென்ஸ்,11118,4
க்நூட்,11118,3
ஹாம்ஸென்,11118,4
பால்விக்,11118,4
சட்ஃபன்,11118,5
கெஸ்ஸன்,11118,4
குஒ,11118,2
மோஹனன்,11118,4
ஸில்கோ,11118,3
வெட்ராயன்,11118,5
எங்கே,11117,3
எட்மோ,11117,3
பிச்சையம்மான்,11117,7
தகுரி,11117,3
ஜேக்கப்சன்,11116,6
நெருதா,11116,3
டாரைல்,11115,3
சுயாந்தன்,11114,5
சுகிர்தராஜா,11114,6
பழநிவேல்,11114,5
ஜிதேந்திரன்,11113,6
தமிழிலக்கியத்தில்,11112,10
புகைப்படக்கலை,11112,8
டவன்பொர்ட்,11112,6
ஸ்கர்,11111,3
கிளாரிஸ்,11111,4
எழுதியவரை,11111,6
மேலைத்,11110,3
சிறப்பிதழ்கள்,11110,8
பிரயென்,11110,4
இஜர்,11109,3
வெர்பா,11109,3
லிஸ்பெக்டர்,11109,6
ஸ்டைன்பெக்,11109,5
பார்டல்மே,11109,5
கேலகர்,11109,4
மார்மொன்,11109,4
ஸ்லவன்கா,11109,5
த்ராகுவிச்,11109,5
புனைவும்,11107,4
பரப்புவர்கள்,11105,8
நலவியல்,11104,5
புனித,11098,3
நய்பால்,11096,4
மக்வன்,11094,4
கொவிட்,11093,3
விவரணப்படம்,11090,8
நிர்வாகிகள்,11083,6
அழைப்பு,11079,4
சூரிய,11075,3
நிகழ்ச்சிக்குறிப்பு,11072,10
நாட்டுப்புறக்கலை,11070,9
நகர,11068,3
க�ழ்,11064,2
தலா,11062,2
நடித்து,11061,4
தீர்ப்பு,11060,4
இசைப்புரட்சி,11052,7
சபை,11047,2
முதலமைச்சர்,11042,7
இசைத்தெரிவு,11042,6
திட்டத்தின்,11038,6
அதிகரித்து,11037,6
அடித்து,11033,4
கடை,11029,2
கூறும்,11026,3
தொல்லெழுத்து,11025,6
பகுப்பை,11023,4
கேட்டார்,11014,4
தங்க,11006,3
காலையில்,11001,4
வர்த்தக,11001,5
ஊராட்சித்,10974,5
ஏற்படுத்தும்,10974,7
அளவிலான,10972,5
வரலாற்று,10969,5
எதிர்,10964,3
இ,10960,1
எவ்வாறு,10955,4
பாவண்ணன்,10935,5
தொழில்நுட்ப,10929,6
லாபம்,10927,3
ஆண்டுத்,10916,4
சிலை,10911,2
கணவன்,10909,4
அளிக்கும்,10888,5
அமைச்சர்கள்,10888,7
மரணம்,10857,4
மாற்ற,10853,3
பயன்,10842,3
அரச,10841,3
உங்களை,10826,4
பொதுச்,10826,3
வைக்கும்,10821,4
ஆஃப்,10811,3
வெவ்வேறு,10792,4
மது,10755,2
பேரில்,10748,3
நிறுவனத்தில்,10727,7
சுகாதார,10717,4
க�ழ்க்கண்ட,10716,6
தெரிந்தது,10700,5
அரை,10697,2
மாகாண,10696,3
காவல்துறை,10688,5
ஆட்டத்தில்,10685,6
தொகுக்கப்பட்டுள்ளது,10669,11
வரையில்,10667,4
ஆனது,10655,3
நூற்றாண்டு,10640,5
அவளுக்கு,10639,5
அலுவலர்,10636,5
வாழ்ந்து,10630,4
காட்சிகள்,10629,5
இளைஞர்,10626,4
முடிவில்,10624,4
நடைபெற,10616,4
இலவச,10615,4
ஒளி,10614,2
வாய்ந்த,10612,4
மணல்,10605,3
விநாயகர்,10603,5
தொலைக்காட்சி,10595,6
முதன்மை,10593,4
அணு,10587,2
குறித்தும்,10580,5
செய்கிறது,10573,5
போன்,10565,2
இணை,10552,2
வாகன,10547,3
விழிப்புணர்வு,10545,7
சண்டை,10544,3
அதுதான்,10530,4
தயார்,10526,3
அழகு,10516,3
முன்பே,10515,3
தரவின்படி,10508,6
தெரியுமா,10506,4
அழைத்துச்,10485,5
பேருக்கு,10484,4
ஆட்டம்,10483,4
அண்மையில்,10471,5
எடுத்துச்,10467,5
வாய்ப்புகள்,10448,6
தஞ்சாவூர்,10435,5
ம�து,10434,2
இத்தனை,10432,4
கொண்டு,10428,4
தகவல்களை,10425,6
பெருமை,10422,3
சம்பந்தப்பட்ட,10418,9
நம்முடைய,10417,5
விழுந்து,10409,4
நினைத்து,10409,4
தங்களின்,10403,5
ஈடுபட்டனர்,10398,7
கேப்டன்,10389,4
அவசர,10382,4
காணாமல்,10372,4
போலீசார்,10370,4
அங்கிருந்து,10356,6
பச்சை,10328,3
வாழ,10327,2
விதமாக,10324,4
எனக்குத்,10320,5
புதுச்சேரி,10320,5
கடலில்,10317,4
முடிந்த,10310,4
வார்த்தை,10297,4
வேண்டி,10293,3
சிவன்,10282,3
படிக்கும்,10281,5
முடிவுகள்,10279,5
பிரதான,10276,4
எழுத்து,10265,4
அமைப்புகள்,10264,6
நடத்தும்,10258,5
கல்யாணம்,10247,5
எப்போது,10232,4
நடை,10232,2
சந்தை,10231,3
இல்லையா,10213,4
பல்கலைக்கழக,10213,8
திருவிழா,10211,4
உள்ளூர்,10211,4
நேரங்களில்,10206,6
எளிய,10205,3
கமல்,10203,3
கூறிய,10202,3
இந்தி,10201,3
திடீரென,10199,4
சசிகலா,10191,4
யானை,10190,2
மேலாக,10173,3
அதற்காக,10168,5
பேச்சுவார்த்தை,10163,7
ஏதும்,10159,3
திருப்பூர்,10142,5
வருமான,10120,4
தாம்,10118,2
தூக்கி,10118,3
வருமானம்,10116,5
மேற்கொண்டு,10113,5
ஆற்றல்,10093,4
வைத்த,10087,3
பகுதியை,10081,4
அமர்ந்து,10079,5
வழக்கை,10076,4
பள்ளிகளில்,10074,6
உருவாக்க,10038,5
விமானம்,10019,4
மொழியில்,10014,4
இடம்பெற்ற,10010,6
சந்திக்க,10006,5
மதம்,10005,3
விடுமுறை,9999,4
எச்சரிக்கை,9997,6
விவகாரம்,9991,5
அவளது,9963,4
விழுப்புரம்,9951,6
நூல்கள்,9949,4
ஜனநாயக,9940,5
நீதி,9936,2
நடவடிக்கைகளை,9933,8
சந்தேகம்,9913,5
பார்க்கலாம்,9912,6
கூடுதலாக,9912,5
அன்றைய,9909,4
கண்கள்,9906,4
ஆணையர்,9905,4
முன்னிட்டு,9893,5
தளத்தில்,9886,5
கழகம்,9879,4
அணிக்கு,9875,4
செயல்பட்டு,9873,6
சுற்றுலா,9869,4
அணியில்,9868,4
வெளியிட்டுள்ள,9867,7
பாடம்,9866,3
பெரிதும்,9864,4
ஏதேனும்,9863,4
மாநிலத்தின்,9859,6
திராவிட,9858,4
நிறுத்தி,9855,4
தொகுப்பு,9848,4
தொலைவில்,9845,4
கணவர்,9839,4
அழுத்தம்,9828,5
இன்னமும்,9828,5
திருநெல்வேலி,9817,6
குறைவாக,9812,4
தவிர்க்க,9809,5
பகிர்க,9808,4
எந்தவொரு,9805,5
ஈடுபட்டு,9791,5
ப,9776,1
திண்டுக்கல்,9773,6
விபத்தில்,9771,5
குறைந்து,9769,4
மா,9767,1
சிறை,9755,2
ஏற்பட்டு,9755,5
களுக்கு,9752,4
முகத்தில்,9750,5
அளித்து,9746,4
முடிந்து,9742,4
மொபைல்,9722,3
போனது,9720,3
விவசாய,9714,4
ஆடி,9711,2
பல்கலைக்கழகத்தில்,9708,11
வாழ்ந்த,9705,4
செய்துள்ளனர்,9699,7
முடிவுக்கு,9696,5
வரிசையில்,9695,5
பிடித்த,9688,4
நிற்கும்,9683,4
தோன்றியது,9679,5
மின்சாரம்,9664,5
ரெண்டு,9663,3
வேலூர்,9659,3
கருதப்படுகிறது,9647,9
பண,9640,2
கோபம்,9633,3
செயல்படும்,9633,6
வாரியம்,9633,4
திருவிழாவாக,9627,6
பார்த்தேன்,9626,5
அவ்வப்போது,9626,6
சொல்லிக்,9624,4
அமைத்து,9624,4
ணன,9618,2
வந்துள்ளது,9615,6
செயலர்,9614,4
அரசுப்,9609,4
வெளிநாட்டு,9607,5
பேரை,9604,2
நிறுவன,9596,4
பகுதிகள்,9575,5
கோல்,9542,2
கலைஞர்,9541,4
கிடைத்துள்ளன,9532,7
சர்க்கரை,9528,5
தேர்வில்,9525,4
கழித்து,9524,4
எடுக்கும்,9523,5
அவர்களுடைய,9522,7
தூரம்,9510,3
ஆன,9510,2
வாழ்க்கையை,9507,5
காணப்படுகிறது,9502,8
போட்டிகள்,9502,5
மாணவ,9499,3
நாட்களாக,9484,5
ஏற்ற,9481,3
தொழிலாளர்கள்,9473,7
அறிய,9471,3
யம,9469,2
குறைவான,9456,4
சத்தம்,9455,4
தரம்,9454,3
இதுதொடர்பாக,9450,7
காலங்களில்,9449,6
பொய்,9432,2
ஆந்திர,9431,4
வில்லை,9428,3
ந�ர்,9427,2
உணர்வு,9416,4
அதிர்ச்சி,9415,5
அறிவித்துள்ளது,9414,8
அவர்களிடம்,9409,7
சுதந்திர,9404,5
தோல்வி,9403,3
ம�ண்டும்,9398,4
சிபிஐ,9395,3
நூற்றாண்டில்,9393,6
பறிமுதல்,9392,5
தொடர்ச்சியாக,9383,7
மறு,9381,2
பட்டு,9380,3
சந்தையில்,9378,5
ஒருவரை,9372,4
ஆட்சியர்,9369,5
தங்கம்,9367,4
தெலுங்கு,9362,4
எளிதில்,9356,4
மதிப்பெண்,9353,5
இலங்கையின்,9352,6
நலம்,9348,3
இரவில்,9347,4
வணிக,9343,3
ஒன்றாகும்,9341,5
வண்ணம்,9341,4
நடக்க,9330,4
அறங்காவலர்,9325,7
மரியாதை,9325,4
திட்டங்கள்,9313,6
உயர்ந்த,9303,5
அழகான,9303,4
அமைப்பால்,9300,5
மெல்ல,9293,3
ஆங்கிலம்,9270,5
ஆளும்,9267,3
குஜராத்,9259,4
ஆரம்ப,9254,4
காரை,9253,2
ந�,9246,1
கணினி,9243,3
>,9236,0
&,9234,0
பெரியார்,9229,4
வசதிகள்,9228,5
சாதி,9226,2
சமையல்,9223,4
நிறம்,9221,3
வெகு,9218,2
குழந்தைகளுக்கு,9216,8
தடுத்து,9215,4
இன,9209,2
மேற்கொள்ள,9205,5
கூறப்பட்டுள்ளது,9203,9
வாய்,9199,2
சொல்வது,9199,4
அதிலும்,9187,4
உன்னை,9176,3
சம்பளம்,9166,5
தேசியக்,9165,4
படப்பிடிப்பு,9165,7
அவனுடைய,9164,5
படித்த,9160,4
இயக்க,9156,4
விவகாரத்தில்,9152,7
வசிக்கும்,9150,5
ஏழை,9132,2
பிடிக்கும்,9130,5
வரலாற்றில்,9128,6
குறிப்பிட்டுள்ளார்,9125,9
மறுபடியும்,9121,6
எனக்கும்,9111,5
குதிரை,9083,3
இழந்து,9073,4
கூற,9073,2
அவ,9068,2
கடி,9064,2
மோசமான,9050,4
வழங்கப்பட்டது,9045,9
தெரியாத,9045,4
குடியரசுத்,9040,6
எடப்பாடி,9034,5
கழக,9032,3
பாதை,9031,2
காட்டு,9023,3
இவற்றை,9022,4
இரட்டை,9021,4
நோக்கம்,9007,4
எளிதாக,9005,4
பயன்படுத்தும்,8999,8
வெள்ளிக்கிழமை,8997,7
கூட்டு,8994,3
அவற்றில்,8993,5
கட்சித்,8985,4
முதன்,8981,3
சென்றது,8981,4
கொண்டிருக்கிறது,8973,8
நெல்,8972,2
குறையும்,8963,4
தேவையில்லை,8933,5
சந்திப்பு,8927,5
உள்பட,8926,4
வில்,8924,2
வளாகத்தில்,8916,6
நேரடி,8910,3
என்பதற்கு,8893,6
ரம,8890,2
தலைமைச்,8884,4
ஸ்ரீ,8881,2
கவலை,8877,3
தயாரிப்பு,8875,5
நல,8866,2
எடை,8864,2
பழனிசாமி,8863,5
செய்துள்ளார்,8855,6
எங்க,8854,3
மருத்துவர்கள்,8851,8
சிறப்பான,8848,5
தொடரும்,8848,4
சட்டமன்ற,8845,6
சனிக்கிழமை,8838,6
என்றனர்,8835,5
சம,8830,2
அமைதி,8829,3
அரசியலில்,8829,6
வாழ்வில்,8813,4
ஒப்புதல்,8813,5
பிரச்சினைகள்,8808,7
பொறுத்தவரை,8794,6
கிராமம்,8792,4
பூஜை,8785,2
சுற்றுச்சூழல்,8782,7
பெட்ரோல்,8777,4
நடைமுறை,8755,4
சொத்து,8753,3
சிவப்பு,8746,4
ஆப்,8744,2
ஏற்படுத்தி,8744,6
குறிக்கும்,8729,5
மாநிலங்களில்,8721,7
சொல்கிறார்,8716,5
அர்த்தம்,8715,5
மீறி,8712,2
அடங்கிய,8711,5
இறைவன்,8706,4
பெண்ணின்,8704,4
உருவாக்கி,8690,5
என்றேன்,8688,4
அதைக்,8681,3
இணைப்பு,8679,4
அ,8677,1
காட்டும்,8676,4
வாக்கு,8669,3
அதிகாலை,8668,4
சக,8667,2
வரவேற்பு,8664,5
ஆன்லைன்,8663,4
விடுதலைப்,8659,5
யாருக்கும்,8645,5
உணர்ந்து,8644,5
சட்டத்தின்,8643,6
பல்கலைக்கழகம்,8633,9
மட்டுமின்றி,8625,6
அதுவே,8624,3
ஏற்படுத்தியுள்ளது,8622,10
பயம்,8621,3
சதுர,8618,3
மறந்து,8610,4
தளம்,8605,3
ஆசிய,8602,3
கான்,8597,2
மாணவர்களின்,8593,7
பட்டது,8590,4
மீன்,8584,2
ஆதரவாக,8580,5
இல்ல,8577,3
ஆண்டுக்கு,8570,5
அல்லவா,8563,4
பாவம்,8553,3
உள்ளதாக,8544,5
ஏக்கர்,8540,4
காணலாம்,8521,4
வருகை,8519,3
இதோ,8515,2
யாராவது,8513,4
எவ்வித,8509,4
மக்களிடம்,8507,6
திட்ட,8500,3
சராசரி,8495,4
தொடர்ந்து,8490,6
ஜனதா,8483,3
வருவதாக,8479,5
வெளியானது,8469,5
புலிகள்,8469,4
எந்தப்,8459,4
மிகக்,8454,3
போதிய,8452,3
தோன்றும்,8443,4
ஏனென்றால்,8438,5
மணியளவில்,8436,6
கொடுத்தார்,8431,5
…,8430,0
விகிதம்,8429,4
அதேபோல்,8428,4
முக்கியம்,8424,5
செய்யப்,8421,4
கொண்டுள்ளார்,8419,6
பலன்,8415,3
கவிஞர்,8410,4
மக்களும்,8408,5
மன்னர்,8404,4
வன,8403,2
சீனா,8393,2
விதி,8384,2
மாபெரும்,8381,4
ஏற்ப,8379,3
முடித்து,8353,4
லட்சத்து,8349,5
உள்,8340,2
பிறந்தார்,8335,5
இடங்கள்,8331,5
உங்க,8324,3
தலையில்,8319,4
நித்ய,8306,3
ஏற்படுகிறது,8283,7
தேர்ச்சி,8283,4
நேர,8278,2
செய்தியாளர்களிடம்,8271,10
ஒருவேளை,8265,4
திருவள்ளூர்,8260,6
உதாரணமாக,8259,6
மீதும்,8256,3
பரிசோதனை,8250,5
துணைத்,8248,3
இதுவும்,8244,4
கொண்டிருந்தார்,8226,7
சான்றிதழ்,8226,5
யாரோ,8221,2
பிளஸ்,8215,3
முடிவை,8211,3
முதலாவது,8208,5
வெளியிட,8205,4
சாமி,8203,2
தொடக்க,8201,4
உப்பு,8199,3
காட்டிலும்,8198,5
இப்போ,8198,3
சிங்கள,8196,4
செய்யப்பட்டார்,8196,8
கொள்வது,8193,4
வளர்ந்து,8191,5
வெளியாகி,8190,4
உருவாகும்,8188,5
கேள்விகள்,8186,5
தேர்வுத்,8186,4
பொலிஸ்,8185,3
நீட்,8182,2
மாணவி,8170,3
இப்ப,8165,3
இருக்கிறேன்,8162,6
அடைந்த,8161,4
தெரிந்த,8161,4
அவரைப்,8155,4
கொழும்பு,8150,4
நடிப்பில்,8148,5
+,8147,0
தரப்பு,8146,4
ஒதுக்கீடு,8144,5
தெளிவாக,8141,4
கட்டாயம்,8133,5
அறை,8132,2
அழகிய,8127,4
கர,8122,2
அண்ணன்,8120,4
இயேசு,8113,3
பாரம்பரிய,8104,6
அறையில்,8096,4
வட்டி,8092,3
இதைப்,8089,3
நின்ற,8088,3
வண்டி,8087,3
குறைவு,8087,3
பெற்றுள்ளது,8081,6
நட்பு,8078,3
நகராட்சி,8075,5
மாட்டார்கள்,8067,6
சொன்னால்,8066,4
பாதையில்,8066,4
சிதம்பரம்,8063,6
கருத்தை,8063,4
அறுவை,8061,3
முகாம்,8061,3
எடுக்கப்படும்,8047,8
தந்த,8043,3
பலம்,8042,3
சைதன்ய,8030,4
இறந்து,8025,4
நினைக்கிறேன்,8025,6
தடுப்பு,8024,4
களின்,8017,3
ஏற்று,8012,3
நிறைவு,8011,3
இருவர்,8001,4
அமைந்தது,7999,5
சுதந்திரம்,7994,6
தொடங்கிய,7988,5
கட்டத்தில்,7987,6
கம,7987,2
கல்,7984,2
நபர்கள்,7982,5
தொடங்கினார்,7976,6
விருப்பம்,7975,5
எல்லாமே,7968,4
கொஞ்ச,7967,3
குண்டு,7964,3
பகிர்ந்து,7964,5
தொழிலாளர்,7960,5
டாலர்,7957,3
பெற்றுக்,7956,4
ஏறி,7954,2
பள்ளிகள்,7954,5
மலர்,7947,3
சட்டப்பேரவை,7945,7
யதி,7945,2
கப்பல்,7943,4
பெண்களை,7943,4
சொன்னது,7941,4
பாருங்கள்,7937,5
கொள்கிறேன்,7935,5
புகழ்பெற்ற,7933,6
யாழ்,7928,2
படிப்பு,7924,4
செல்வம்,7922,4
உலகப்,7920,4
கூறுகிறார்,7917,5
கோப்பை,7916,3
நாட்டை,7910,3
அளவிற்கு,7910,5
முன்னிலையில்,7902,6
குறிப்பிட்டார்,7895,7
ஆரம்பத்தில்,7893,7
இயங்கும்,7891,5
முழுமையான,7888,5
ஓடி,7886,2
குழுவினர்,7883,5
இறந்த,7878,4
திருவண்ணாமலை,7875,7
உறுப்பினராக,7869,7
வாகனம்,7869,4
பிரச்சாரம்,7869,6
பணியை,7862,3
முன்பாக,7860,4
பிரான்ஸ்,7857,4
ஏனைய,7855,3
இடது,7853,3
வேளையில்,7846,4
